Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
7026,977,265,MoveRight,1850,265,None
7027,984,265,MoveRight,1850,265,None
7028,991,265,MoveRight,1850,265,None
7029,998,265,MoveRight,1850,265,None
7030,1005,265,MoveRight,1850,265,None
7031,1012,265,MoveRight,1850,265,None
7032,1019,265,MoveRight,1850,265,None
7033,1026,265,MoveRight,1850,265,None
7034,1033,265,MoveRight,1850,265,None
7035,1040,265,MoveRight,1850,265,None
7036,1047,265,MoveRight,1850,265,None
7037,1054,265,MoveRight,1850,265,None
7038,1061,265,MoveRight,1850,265,None
7039,1068,265,MoveRight,1850,265,None
7041,1075,265,MoveRight,1850,265,None
7042,1082,265,MoveRight,1850,265,None
7043,1089,265,MoveRight,1850,265,None
7044,1096,265,MoveRight,1850,265,None
7045,1103,265,MoveRight,1850,265,None
