Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
126,977,265,MoveRight,1850,265,None
127,984,265,MoveRight,1850,265,None
128,991,265,MoveRight,1850,265,None
129,998,265,MoveRight,1850,265,None
130,1005,265,MoveRight,1850,265,None
131,1012,265,MoveRight,1850,265,None
132,1019,265,MoveRight,1850,265,None
133,1026,265,MoveRight,1850,265,None
134,1033,265,MoveRight,1850,265,None
135,1040,265,MoveRight,1850,265,None
136,1047,265,MoveRight,1850,265,None
137,1054,265,MoveRight,1850,265,None
138,1061,265,MoveRight,1850,265,None
139,1068,265,MoveRight,1850,265,None
140,1075,265,MoveRight,1850,265,None
682,1082,265,MoveRight,1850,265,None
683,1089,265,MoveRight,1850,265,None
684,1096,265,MoveRight,1850,265,None
685,1103,265,MoveRight,1850,265,None
686,1110,265,MoveRight,1850,265,None
687,1117,265,MoveRight,1850,265,None
688,1124,265,MoveRight,1850,265,None
689,1131,265,MoveRight,1850,265,None
690,1138,265,MoveRight,1850,265,None
691,1145,265,MoveRight,1850,265,None
692,1152,265,MoveRight,1850,265,None
693,1159,265,MoveRight,1850,265,None
694,1166,265,MoveRight,1850,265,None
695,1173,265,MoveRight,1850,265,None
696,1180,265,MoveRight,1850,265,None
