Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
26686,309.0,265.0,Serve,1850,265,
26687,309.0,265.0,,1857,265,MoveRight
26705,316.0,265.0,MoveRight,1857,265,
26706,323.0,265.0,MoveRight,1857,265,
26707,330.0,265.0,MoveRight,1857,265,
26708,337.0,265.0,MoveRight,1857,265,
26709,344.0,265.0,MoveRight,1857,265,
26710,351.0,265.0,MoveRight,1857,265,
26711,358.0,265.0,MoveRight,1857,265,
26712,365.0,265.0,MoveRight,1857,265,
26713,372.0,265.0,MoveRight,1857,265,
26714,379.0,265.0,MoveRight,1857,265,
26715,386.0,265.0,MoveRight,1857,265,
26716,393.0,265.0,MoveRight,1857,265,
26717,400.0,265.0,MoveRight,1857,265,
26718,407.0,265.0,MoveRight,1857,265,
26719,414.0,265.0,MoveRight,1857,265,
26720,421.0,265.0,MoveRight,1857,265,
26721,428.0,265.0,MoveRight,1857,265,
26722,435.0,265.0,MoveRight,1857,265,
26723,442.0,265.0,MoveRight,1857,265,
26724,449.0,265.0,MoveRight,1857,265,
26725,456.0,265.0,MoveRight,1857,265,
26726,463.0,265.0,MoveRight,1857,265,
26727,470.0,265.0,MoveRight,1857,265,
26728,477.0,265.0,MoveRight,1857,265,
26729,484.0,265.0,MoveRight,1857,265,
26730,491.0,265.0,MoveRight,1857,265,
26731,498.0,265.0,MoveRight,1857,265,
26732,505.0,265.0,MoveRight,1857,265,
26733,512.0,265.0,MoveRight,1857,265,
26734,519.0,265.0,MoveRight,1857,265,
26735,526.0,265.0,MoveRight,1857,265,
26736,533.0,265.0,MoveRight,1857,265,
26737,540.0,265.0,MoveRight,1857,265,
26738,547.0,265.0,MoveRight,1857,265,
26739,554.0,265.0,MoveRight,1857,265,
26740,561.0,265.0,MoveRight,1857,265,
26741,568.0,265.0,MoveRight,1857,265,
26742,575.0,265.0,MoveRight,1857,265,
26743,582.0,265.0,MoveRight,1857,265,
26744,589.0,265.0,MoveRight,1857,265,
26745,596.0,265.0,MoveRight,1857,265,
26746,603.0,265.0,MoveRight,1857,265,
26747,610.0,265.0,MoveRight,1857,265,
26748,617.0,265.0,MoveRight,1857,265,
26749,624.0,265.0,MoveRight,1857,265,
26750,631.0,265.0,MoveRight,1857,265,
26751,638.0,265.0,MoveRight,1857,265,
26752,645.0,265.0,MoveRight,1857,265,
26753,652.0,265.0,MoveRight,1857,265,
26754,659.0,265.0,MoveRight,1857,265,
26755,666.0,265.0,MoveRight,1857,265,
26756,673.0,265.0,MoveRight,1857,265,
26757,680.0,265.0,MoveRight,1857,265,
26758,687.0,265.0,MoveRight,1857,265,
26759,694.0,265.0,MoveRight,1857,265,
26760,694.0,265.0,,1857,265,SpikeMedium
26760,701.0,265.0,MoveRight,1857,265,
26761,708.0,265.0,MoveRight,1857,265,
26762,715.0,265.0,MoveRight,1857,265,
26763,722.0,265.0,MoveRight,1857,265,
26764,729.0,265.0,MoveRight,1857,265,
26765,736.0,265.0,MoveRight,1857,265,
26766,743.0,265.0,MoveRight,1857,265,
26767,750.0,265.0,MoveRight,1857,265,
26768,757.0,265.0,MoveRight,1857,265,
26769,764.0,265.0,MoveRight,1857,265,
26770,771.0,265.0,MoveRight,1857,265,
26771,778.0,265.0,MoveRight,1857,265,
26771,778.0,265.0,,1850,265,MoveLeft
26772,785.0,265.0,MoveRight,1850,265,
26772,785.0,265.0,,1843,265,MoveLeft
26773,792.0,265.0,MoveRight,1843,265,
26773,792.0,265.0,,1836,265,MoveLeft
26774,799.0,265.0,MoveRight,1836,265,
26774,799.0,265.0,,1829,265,MoveLeft
26775,806.0,265.0,MoveRight,1829,265,
26775,806.0,265.0,,1822,265,MoveLeft
26776,813.0,265.0,MoveRight,1822,265,
26776,813.0,265.0,,1815,265,MoveLeft
26777,820.0,265.0,MoveRight,1815,265,
26777,820.0,265.0,,1808,265,MoveLeft
26778,827.0,265.0,MoveRight,1808,265,
26778,827.0,265.0,,1801,265,MoveLeft
26779,827.0,265.0,,1794,265,MoveLeft
26780,827.0,265.0,,1787,265,MoveLeft
26781,827.0,265.0,,1780,265,MoveLeft
26782,827.0,265.0,,1773,265,MoveLeft
26783,827.0,265.0,,1766,265,MoveLeft
26784,827.0,265.0,,1759,265,MoveLeft
26785,827.0,265.0,,1752,265,MoveLeft
26786,827.0,265.0,,1745,265,MoveLeft
26787,827.0,265.0,,1738,265,MoveLeft
26788,827.0,265.0,,1731,265,MoveLeft
26809,834.0,265.0,MoveRight,1731,265,
26810,841.0,265.0,MoveRight,1731,265,
26811,848.0,265.0,MoveRight,1731,265,
