Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
6469,970,265,None,1843,265,MoveLeft
6470,970,265,None,1836,265,MoveLeft
6471,970,265,None,1829,265,MoveLeft
6472,970,265,None,1822,265,MoveLeft
6473,970,265,None,1815,265,MoveLeft
6474,970,265,None,1808,265,MoveLeft
6475,970,265,None,1801,265,MoveLeft
6476,970,265,None,1794,265,MoveLeft
6477,970,265,None,1787,265,MoveLeft
6478,970,265,None,1780,265,MoveLeft
6479,970,265,None,1773,265,MoveLeft
6480,970,265,None,1766,265,MoveLeft
6481,970,265,None,1759,265,MoveLeft
6482,970,265,None,1752,265,MoveLeft
6483,970,265,None,1745,265,MoveLeft
6484,970,265,None,1738,265,MoveLeft
6485,970,265,None,1731,265,MoveLeft
7167,977,265,MoveRight,1731,265,None
7168,984,265,MoveRight,1731,265,None
7169,991,265,MoveRight,1731,265,None
7170,998,265,MoveRight,1731,265,None
7171,1005,265,MoveRight,1731,265,None
7172,1012,265,MoveRight,1731,265,None
7173,1019,265,MoveRight,1731,265,None
7174,1026,265,MoveRight,1731,265,None
7175,1033,265,MoveRight,1731,265,None
7176,1040,265,MoveRight,1731,265,None
7177,1047,265,MoveRight,1731,265,None
7178,1054,265,MoveRight,1731,265,None
7179,1061,265,MoveRight,1731,265,None
7180,1068,265,MoveRight,1731,265,None
7181,1075,265,MoveRight,1731,265,None
7182,1082,265,MoveRight,1731,265,None
7183,1089,265,MoveRight,1731,265,None
7184,1096,265,MoveRight,1731,265,None
7185,1103,265,MoveRight,1731,265,None
7186,1110,265,MoveRight,1731,265,None
7187,1117,265,MoveRight,1731,265,None
7188,1124,265,MoveRight,1731,265,None
7189,1131,265,MoveRight,1731,265,None
7190,1138,265,MoveRight,1731,265,None
7191,1145,265,MoveRight,1731,265,None
7192,1152,265,MoveRight,1731,265,None
7193,1159,265,MoveRight,1731,265,None
7194,1166,265,MoveRight,1731,265,None
7195,1173,265,MoveRight,1731,265,None
7196,1180,265,MoveRight,1731,265,None
7197,1187,265,MoveRight,1731,265,None
7198,1194,265,MoveRight,1731,265,None
7199,1201,265,MoveRight,1731,265,None
7200,1208,265,MoveRight,1731,265,None
7201,1215,265,MoveRight,1731,265,None
7202,1222,265,MoveRight,1731,265,None
7203,1229,265,MoveRight,1731,265,None
7204,1236,265,MoveRight,1731,265,None
7205,1243,265,MoveRight,1731,265,None
7206,1250,265,MoveRight,1731,265,None
7207,1257,265,MoveRight,1731,265,None
7208,1260.5,284.62,MoveRight,1731,265,None
7209,1264,304.24,MoveRight,1731,265,None
7210,1267.5,314.05,MoveRight,1731,265,None
7211,1271,323.86,MoveRight,1731,265,None
7212,1274.5,333.67,MoveRight,1731,265,None
7213,1278,343.48,MoveRight,1731,265,None
7214,1281.5,353.29,MoveRight,1731,265,None
7215,1285,363.1,MoveRight,1731,265,None
7216,1288.5,372.91,MoveRight,1731,265,None
7217,1292,382.72,MoveRight,1731,265,None
7218,1295.5,392.53,MoveRight,1731,265,None
7219,1299,402.34,MoveRight,1731,265,None
7220,1302.5,412.15,MoveRight,1731,265,None
7221,1306,421.96,MoveRight,1731,265,None
7222,1309.5,431.77,MoveRight,1731,265,None
7223,1313,441.58,MoveRight,1731,265,None
7224,1316.5,451.39,MoveRight,1731,265,None
7225,1320,461.2,MoveRight,1731,265,None
7235,1320,559.3,None,1731,265,None
7248,1320,471.01,Spike,1731,265,None
7248,1320,471.01,None,1731,265,None
7249,1320,461.2,None,1724,265,MoveLeft
7250,1320,451.39,None,1717,265,MoveLeft
7251,1320,441.58,None,1710,265,MoveLeft
7252,1320,431.77,None,1703,265,MoveLeft
7253,1320,421.96,None,1696,265,MoveLeft
7254,1320,412.15,None,1689,265,MoveLeft
7255,1320,402.34,None,1682,265,MoveLeft
7256,1320,392.53,None,1675,265,MoveLeft
7274,323,265,MoveLeft,1850,265,None
7275,316,265,MoveLeft,1850,265,None
7276,309,265,MoveLeft,1850,265,None
7277,302,265,MoveLeft,1850,265,None
7278,295,265,MoveLeft,1850,265,None
7279,288,265,MoveLeft,1850,265,None
7280,281,265,MoveLeft,1850,265,None
7281,274,265,MoveLeft,1850,265,None
7282,267,265,MoveLeft,1850,265,None
7283,260,265,MoveLeft,1850,265,None
7284,253,265,MoveLeft,1850,265,None
7285,246,265,MoveLeft,1850,265,None
7286,239,265,MoveLeft,1850,265,None
7287,232,265,MoveLeft,1850,265,None
7288,225,265,MoveLeft,1850,265,None
7292,232,265,MoveRight,1850,265,None
7293,239,265,MoveRight,1850,265,None
7294,246,265,MoveRight,1850,265,None
7295,253,265,MoveRight,1850,265,None
7296,260,265,MoveRight,1850,265,None
7297,267,265,MoveRight,1850,265,None
7298,274,265,MoveRight,1850,265,None
7299,281,265,MoveRight,1850,265,None
7300,288,265,MoveRight,1850,265,None
7301,295,265,MoveRight,1850,265,None
7302,302,265,MoveRight,1850,265,None
7303,309,265,MoveRight,1850,265,None
7304,316,265,MoveRight,1850,265,None
7305,323,265,MoveRight,1850,265,None
7306,330,265,MoveRight,1850,265,None
7307,337,265,MoveRight,1850,265,None
7308,344,265,MoveRight,1850,265,None
7309,351,265,MoveRight,1850,265,None
7310,358,265,MoveRight,1850,265,None
7311,365,265,MoveRight,1850,265,None
7312,372,265,MoveRight,1850,265,None
7313,379,265,MoveRight,1850,265,None
7314,386,265,MoveRight,1850,265,None
7315,393,265,MoveRight,1850,265,None
7327,400,265,MoveRight,1850,265,None
7328,407,265,MoveRight,1850,265,None
7329,414,265,MoveRight,1850,265,None
7330,421,265,MoveRight,1850,265,None
7331,428,265,MoveRight,1850,265,None
7332,435,265,MoveRight,1850,265,None
7333,442,265,MoveRight,1850,265,None
7334,449,265,MoveRight,1850,265,None
7335,456,265,MoveRight,1850,265,None
7336,463,265,MoveRight,1850,265,None
7337,470,265,MoveRight,1850,265,None
7338,477,265,MoveRight,1850,265,None
7339,484,265,MoveRight,1850,265,None
7340,491,265,MoveRight,1850,265,None
7341,498,265,MoveRight,1850,265,None
7342,505,265,MoveRight,1850,265,None
7343,512,265,MoveRight,1850,265,None
7344,519,265,MoveRight,1850,265,None
7345,526,265,MoveRight,1850,265,None
7370,533,265,MoveRight,1850,265,None
7371,540,265,MoveRight,1850,265,None
7372,547,265,MoveRight,1850,265,None
7373,554,265,MoveRight,1850,265,None
7374,561,265,MoveRight,1850,265,None
7375,568,265,MoveRight,1850,265,None
7376,575,265,MoveRight,1850,265,None
7377,582,265,MoveRight,1850,265,None
7378,589,265,MoveRight,1850,265,None
7379,596,265,MoveRight,1850,265,None
7388,596,284.62,None,1850,265,None
7409,596,480.82,Serve,1850,265,None
7409,596,500.44,None,1850,265,None
7410,596,510.25,None,1857,265,MoveRight
7411,596,520.06,None,1864,265,MoveRight
7412,596,529.87,None,1871,265,MoveRight
7413,596,539.68,None,1878,265,MoveRight
7414,596,549.49,None,1885,265,MoveRight
7415,596,559.3,None,1892,265,MoveRight
7416,596,569.11,None,1899,265,MoveRight
7417,596,578.92,None,1906,265,MoveRight
7418,596,569.11,None,1913,265,MoveRight
7419,596,559.3,None,1920,265,MoveRight
7420,596,549.49,None,1927,265,MoveRight
7421,596,539.68,None,1934,265,MoveRight
7422,596,529.87,None,1941,265,MoveRight
7423,596,520.06,None,1948,265,MoveRight
7428,599.5,471.01,MoveRight,1948,265,None
7429,603,461.2,MoveRight,1948,265,None
7430,606.5,451.39,MoveRight,1948,265,None
7431,610,441.58,MoveRight,1948,265,None
7432,613.5,431.77,MoveRight,1948,265,None
7433,617,421.96,MoveRight,1948,265,None
7434,620.5,412.15,MoveRight,1948,265,None
7435,624,402.34,MoveRight,1948,265,None
7436,627.5,392.53,MoveRight,1948,265,None
7437,631,382.72,MoveRight,1948,265,None
7438,634.5,372.91,MoveRight,1948,265,None
7439,638,363.1,MoveRight,1948,265,None
7440,641.5,353.29,MoveRight,1948,265,None
7441,645,343.48,MoveRight,1948,265,None
7442,648.5,333.67,MoveRight,1948,265,None
7443,652,323.86,MoveRight,1948,265,None
7444,655.5,314.05,MoveRight,1948,265,None
7445,659,304.24,MoveRight,1948,265,None
7446,662.5,294.43,MoveRight,1948,265,None
7447,666,284.62,MoveRight,1948,265,None
7448,669.5,274.81,MoveRight,1948,265,None
7449,676.5,265,MoveRight,1948,265,None
7450,683.5,265,MoveRight,1948,265,None
7451,690.5,265,MoveRight,1948,265,None
7452,697.5,265,MoveRight,1948,265,None
7453,704.5,265,MoveRight,1948,265,None
7454,711.5,265,MoveRight,1948,265,None
7455,718.5,265,MoveRight,1948,265,None
7456,725.5,265,MoveRight,1948,265,None
7457,732.5,265,MoveRight,1948,265,None
7458,739.5,265,MoveRight,1948,265,None
7459,746.5,265,MoveRight,1948,265,None
7460,753.5,265,MoveRight,1948,265,None
7461,760.5,265,MoveRight,1948,265,None
7462,767.5,265,MoveRight,1948,265,None
7463,774.5,265,MoveRight,1948,265,None
7464,781.5,265,MoveRight,1948,265,None
7465,788.5,265,MoveRight,1948,265,None
7466,795.5,265,MoveRight,1948,265,None
7467,802.5,265,MoveRight,1948,265,None
7468,809.5,265,MoveRight,1948,265,None
7469,816.5,265,MoveRight,1948,265,None
7470,823.5,265,MoveRight,1948,265,None
7471,830.5,265,MoveRight,1948,265,None
7472,837.5,265,MoveRight,1948,265,None
7473,844.5,265,MoveRight,1948,265,None
7474,844.5,265,None,1948,265,SpikeMedium
7474,851.5,265,MoveRight,1948,265,None
7474,851.5,265,None,1948,265,None
7475,858.5,265,MoveRight,1948,265,None
7476,865.5,265,MoveRight,1948,265,None
7477,872.5,265,MoveRight,1948,265,None
7478,879.5,265,MoveRight,1948,265,None
7479,886.5,265,MoveRight,1948,265,None
7480,893.5,265,MoveRight,1948,265,None
7481,900.5,265,MoveRight,1948,265,None
7535,907.5,265,MoveRight,1948,265,None
7536,914.5,265,MoveRight,1948,265,None
7537,921.5,265,MoveRight,1948,265,None
7538,928.5,265,MoveRight,1948,265,None
7539,935.5,265,MoveRight,1948,265,None
7540,942.5,265,MoveRight,1948,265,None
7541,949.5,265,MoveRight,1948,265,None
7542,956.5,265,MoveRight,1948,265,None
7543,973.5,284.62,MoveRight,2410,265,None
7544,977,304.24,MoveRight,2410,265,None
7545,980.5,314.05,MoveRight,2410,265,None
7546,984,323.86,MoveRight,2410,265,None
7547,987.5,333.67,MoveRight,2410,265,None
7548,991,343.48,MoveRight,2410,265,None
7549,994.5,353.29,MoveRight,2410,265,None
7550,998,363.1,MoveRight,2410,265,None
7551,1001.5,372.91,MoveRight,2410,265,None
7552,1005,382.72,MoveRight,2410,265,None
7553,1008.5,392.53,MoveRight,2410,265,None
7554,1012,402.34,MoveRight,2410,265,None
7555,1015.5,412.15,MoveRight,2410,265,None
7579,1012,510.25,MoveLeft,2410,265,None
7580,1008.5,500.44,MoveLeft,2410,265,None
7581,1005,490.63,MoveLeft,2410,265,None
7582,1001.5,480.82,MoveLeft,2410,265,None
7583,998,471.01,MoveLeft,2410,265,None
7584,994.5,461.2,MoveLeft,2410,265,None
7585,991,451.39,MoveLeft,2410,265,None
7586,987.5,441.58,MoveLeft,2410,265,None
7587,984,431.77,MoveLeft,2410,265,None
7588,980.5,421.96,MoveLeft,2410,265,None
7589,977,412.15,MoveLeft,2410,265,None
7590,973.5,402.34,MoveLeft,2410,265,None
7591,970,392.53,MoveLeft,2410,265,None
7593,970,372.91,None,2410,265,Serve
7593,970,372.91,None,2410,265,None
7658,963,265,MoveLeft,2410,265,None
7659,956,265,MoveLeft,2410,265,None
7660,949,265,MoveLeft,2410,265,None
7661,942,265,MoveLeft,2410,265,None
7662,935,265,MoveLeft,2410,265,None
7663,935,265,Bump,2410,265,None
7663,928,265,MoveLeft,2410,265,None
7664,928,265,None,2403,265,MoveLeft
7665,928,265,None,2396,265,MoveLeft
7666,928,265,None,2389,265,MoveLeft
7667,928,265,None,2382,265,MoveLeft
7668,928,265,None,2375,265,MoveLeft
7669,928,265,None,2368,265,MoveLeft
7670,928,265,None,2361,265,MoveLeft
7671,928,265,None,2354,265,MoveLeft
7672,928,265,None,2347,265,MoveLeft
7673,928,265,None,2340,265,MoveLeft
7674,928,265,None,2333,265,MoveLeft
7675,928,265,None,2326,265,MoveLeft
7676,928,265,None,2319,265,MoveLeft
