Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
7230,1150.0,265.0,None,2410,265,Serve
7250,1150.0,265.0,None,2403,265,MoveLeft
7251,1150.0,265.0,None,2396,265,MoveLeft
7252,1150.0,265.0,None,2389,265,MoveLeft
7253,1150.0,265.0,None,2382,265,MoveLeft
7254,1150.0,265.0,None,2375,265,MoveLeft
7255,1150.0,265.0,None,2368,265,MoveLeft
7256,1150.0,265.0,None,2361,265,MoveLeft
7257,1150.0,265.0,None,2354,265,MoveLeft
7258,1150.0,265.0,None,2347,265,MoveLeft
7259,1150.0,265.0,None,2340,265,MoveLeft
7260,1150.0,265.0,None,2333,265,MoveLeft
7261,1150.0,265.0,None,2326,265,MoveLeft
7262,1143.0,265.0,MoveLeft,2326,265,None
7262,1143.0,265.0,None,2319,265,MoveLeft
7263,1136.0,265.0,MoveLeft,2319,265,None
7263,1136.0,265.0,None,2312,265,MoveLeft
7264,1129.0,265.0,MoveLeft,2312,265,None
7264,1129.0,265.0,None,2305,265,MoveLeft
7265,1122.0,265.0,MoveLeft,2305,265,None
7265,1122.0,265.0,None,2298,265,MoveLeft
7266,1115.0,265.0,MoveLeft,2298,265,None
7266,1115.0,265.0,None,2291,265,MoveLeft
7267,1108.0,265.0,MoveLeft,2291,265,None
7267,1108.0,265.0,None,2284,265,MoveLeft
7268,1101.0,265.0,MoveLeft,2284,265,None
7268,1101.0,265.0,None,2277,265,MoveLeft
7269,1094.0,265.0,MoveLeft,2277,265,None
7269,1094.0,265.0,None,2270,265,MoveLeft
7270,1087.0,265.0,MoveLeft,2270,265,None
7270,1087.0,265.0,None,2263,265,MoveLeft
7271,1080.0,265.0,MoveLeft,2263,265,None
7271,1080.0,265.0,None,2256,265,MoveLeft
7272,1073.0,265.0,MoveLeft,2256,265,None
7272,1073.0,265.0,None,2249,265,MoveLeft
7273,1066.0,265.0,MoveLeft,2249,265,None
7273,1066.0,265.0,None,2242,265,MoveLeft
7274,1059.0,265.0,MoveLeft,2242,265,None
7274,1059.0,265.0,None,2235,265,MoveLeft
7275,1052.0,265.0,MoveLeft,2235,265,None
7275,1052.0,265.0,None,2228,265,MoveLeft
7276,1045.0,265.0,MoveLeft,2228,265,None
7276,1045.0,265.0,None,2221,265,MoveLeft
7277,1038.0,265.0,MoveLeft,2221,265,None
7277,1038.0,265.0,None,2214,265,MoveLeft
7278,1031.0,265.0,MoveLeft,2214,265,None
7278,1031.0,265.0,None,2207,265,MoveLeft
7279,1024.0,265.0,MoveLeft,2207,265,None
7279,1024.0,265.0,None,2200,265,MoveLeft
7280,1017.0,265.0,MoveLeft,2200,265,None
7280,1017.0,265.0,None,2193,265,MoveLeft
7281,1010.0,265.0,MoveLeft,2193,265,None
7281,1010.0,265.0,None,2186,265,MoveLeft
7282,1003.0,265.0,MoveLeft,2186,265,None
7282,1003.0,265.0,None,2179,265,MoveLeft
7283,996.0,265.0,MoveLeft,2179,265,None
7283,996.0,265.0,None,2172,265,MoveLeft
7284,989.0,265.0,MoveLeft,2172,265,None
7284,989.0,265.0,None,2165,265,MoveLeft
7285,982.0,265.0,MoveLeft,2165,265,None
7285,982.0,265.0,None,2158,265,MoveLeft
7286,975.0,265.0,MoveLeft,2158,265,None
7286,975.0,265.0,None,2151,265,MoveLeft
7287,968.0,265.0,MoveLeft,2151,265,None
7287,968.0,265.0,None,2144,265,MoveLeft
7288,961.0,265.0,MoveLeft,2144,265,None
7288,961.0,265.0,None,2137,265,MoveLeft
7289,954.0,265.0,MoveLeft,2137,265,None
7289,954.0,265.0,None,2130,265,MoveLeft
7290,947.0,265.0,MoveLeft,2130,265,None
7290,947.0,265.0,None,2123,265,MoveLeft
7291,940.0,265.0,MoveLeft,2123,265,None
7291,940.0,265.0,None,2116,265,MoveLeft
7292,933.0,265.0,MoveLeft,2116,265,None
7292,933.0,265.0,None,2109,265,MoveLeft
7293,926.0,265.0,MoveLeft,2109,265,None
7293,926.0,265.0,None,2102,265,MoveLeft
7294,919.0,265.0,MoveLeft,2102,265,None
7294,919.0,265.0,None,2095,265,MoveLeft
7295,912.0,265.0,MoveLeft,2095,265,None
7295,912.0,265.0,None,2088,265,MoveLeft
7296,905.0,265.0,MoveLeft,2088,265,None
7296,905.0,265.0,None,2081,265,MoveLeft
7297,898.0,265.0,MoveLeft,2081,265,None
7297,898.0,265.0,None,2074,265,MoveLeft
7298,891.0,265.0,MoveLeft,2074,265,None
7298,891.0,265.0,None,2067,265,MoveLeft
7299,884.0,265.0,MoveLeft,2067,265,None
7299,884.0,265.0,None,2060,265,MoveLeft
7300,877.0,265.0,MoveLeft,2060,265,None
7300,877.0,265.0,None,2053,265,MoveLeft
7301,870.0,265.0,MoveLeft,2053,265,None
7301,870.0,265.0,None,2046,265,MoveLeft
7302,870.0,265.0,None,2039,265,MoveLeft
7303,870.0,265.0,None,2032,265,MoveLeft
7304,870.0,265.0,None,2025,265,MoveLeft
7305,870.0,265.0,None,2018,265,MoveLeft
7306,877.0,265.0,MoveRight,2018,265,None
7306,877.0,265.0,None,2011,265,MoveLeft
7307,1157.0,265.0,MoveRight,2410,265,None
7308,1164.0,265.0,MoveRight,2410,265,None
7309,1171.0,265.0,MoveRight,2410,265,None
7310,1178.0,265.0,MoveRight,2410,265,None
7311,1185.0,265.0,MoveRight,2410,265,None
7312,1192.0,265.0,MoveRight,2410,265,None
7313,1199.0,265.0,MoveRight,2410,265,None
7314,1206.0,265.0,MoveRight,2410,265,None
7315,1213.0,265.0,MoveRight,2410,265,None
7316,1220.0,265.0,MoveRight,2410,265,None
7317,1227.0,265.0,MoveRight,2410,265,None
7318,1234.0,265.0,MoveRight,2410,265,None
7319,1241.0,265.0,MoveRight,2410,265,None
7320,1248.0,265.0,MoveRight,2410,265,None
7321,1255.0,265.0,MoveRight,2410,265,None
7322,1262.0,265.0,MoveRight,2410,265,None
7323,1269.0,265.0,MoveRight,2410,265,None
7324,1276.0,265.0,MoveRight,2410,265,None
7325,1283.0,265.0,MoveRight,2410,265,None
7326,1290.0,265.0,MoveRight,2410,265,None
7327,1297.0,265.0,MoveRight,2410,265,None
7328,1304.0,265.0,MoveRight,2410,265,None
7329,1311.0,265.0,MoveRight,2410,265,None
