Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
3373,302.0,265.0,Serve,1850,265,None
3392,309.0,265.0,MoveRight,1850,265,None
3393,316.0,265.0,MoveRight,1850,265,None
3394,323.0,265.0,MoveRight,1850,265,None
3395,330.0,265.0,MoveRight,1850,265,None
3396,337.0,265.0,MoveRight,1850,265,None
3397,344.0,265.0,MoveRight,1850,265,None
3398,351.0,265.0,MoveRight,1850,265,None
3399,358.0,265.0,MoveRight,1850,265,None
3400,365.0,265.0,MoveRight,1850,265,None
3401,372.0,265.0,MoveRight,1850,265,None
3402,379.0,265.0,MoveRight,1850,265,None
3403,386.0,265.0,MoveRight,1850,265,None
3404,393.0,265.0,MoveRight,1850,265,None
3405,400.0,265.0,MoveRight,1850,265,None
3406,407.0,265.0,MoveRight,1850,265,None
3407,414.0,265.0,MoveRight,1850,265,None
3408,421.0,265.0,MoveRight,1850,265,None
3409,428.0,265.0,MoveRight,1850,265,None
3410,435.0,265.0,MoveRight,1850,265,None
3411,442.0,265.0,MoveRight,1850,265,None
3412,449.0,265.0,MoveRight,1850,265,None
3413,456.0,265.0,MoveRight,1850,265,None
3414,463.0,265.0,MoveRight,1850,265,None
3415,470.0,265.0,MoveRight,1850,265,None
3416,477.0,265.0,MoveRight,1850,265,None
3417,484.0,265.0,MoveRight,1850,265,None
3418,491.0,265.0,MoveRight,1850,265,None
3419,498.0,265.0,MoveRight,1850,265,None
3420,505.0,265.0,MoveRight,1850,265,None
3421,512.0,265.0,MoveRight,1850,265,None
3422,519.0,265.0,MoveRight,1850,265,None
3423,526.0,265.0,MoveRight,1850,265,None
3424,533.0,265.0,MoveRight,1850,265,None
3425,540.0,265.0,MoveRight,1850,265,None
3426,547.0,265.0,MoveRight,1850,265,None
3427,554.0,265.0,MoveRight,1850,265,None
3428,561.0,265.0,MoveRight,1850,265,None
3429,568.0,265.0,MoveRight,1850,265,None
3430,575.0,265.0,MoveRight,1850,265,None
3431,582.0,265.0,MoveRight,1850,265,None
3432,589.0,265.0,MoveRight,1850,265,None
3433,596.0,265.0,MoveRight,1850,265,None
3434,603.0,265.0,MoveRight,1850,265,None
3435,610.0,265.0,MoveRight,1850,265,None
3436,617.0,265.0,MoveRight,1850,265,None
3437,624.0,265.0,MoveRight,1850,265,None
3438,631.0,265.0,MoveRight,1850,265,None
3439,638.0,265.0,MoveRight,1850,265,None
3440,645.0,265.0,MoveRight,1850,265,None
3445,652.0,265.0,MoveRight,1850,265,None
3446,659.0,265.0,MoveRight,1850,265,None
3447,659.0,265.0,None,1850,265,SpikeMedium
3447,666.0,265.0,MoveRight,1850,265,None
3448,673.0,265.0,MoveRight,1850,265,None
3449,680.0,265.0,MoveRight,1850,265,None
3450,687.0,265.0,MoveRight,1850,265,None
3451,694.0,265.0,MoveRight,1850,265,None
3452,701.0,265.0,MoveRight,1850,265,None
3453,708.0,265.0,MoveRight,1850,265,None
3454,715.0,265.0,MoveRight,1850,265,None
3455,722.0,265.0,MoveRight,1850,265,None
3456,729.0,265.0,MoveRight,1850,265,None
3457,736.0,265.0,MoveRight,1850,265,None
3458,743.0,265.0,MoveRight,1850,265,None
3459,750.0,265.0,MoveRight,1850,265,None
3460,757.0,265.0,MoveRight,1850,265,None
3461,764.0,265.0,MoveRight,1850,265,None
3462,771.0,265.0,MoveRight,1850,265,None
3463,778.0,265.0,MoveRight,1850,265,None
3464,785.0,265.0,MoveRight,1850,265,None
3465,792.0,265.0,MoveRight,1850,265,None
3466,799.0,265.0,MoveRight,1850,265,None
3467,806.0,265.0,MoveRight,1850,265,None
3468,813.0,265.0,MoveRight,1850,265,None
3469,820.0,265.0,MoveRight,1850,265,None
3470,827.0,265.0,MoveRight,1850,265,None
3471,834.0,265.0,MoveRight,1850,265,None
3472,841.0,265.0,MoveRight,1850,265,None
3473,848.0,265.0,MoveRight,1850,265,None
3474,855.0,265.0,MoveRight,1850,265,None
3475,862.0,265.0,MoveRight,1850,265,None
