Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
35542,295.0,265.0,Serve,1670,265,
35543,295.0,265.0,,1677,265,MoveRight
35544,295.0,265.0,,1684,265,MoveRight
35545,295.0,265.0,,1691,265,MoveRight
35546,295.0,265.0,,1698,265,MoveRight
35547,295.0,265.0,,1705,265,MoveRight
35548,295.0,265.0,,1712,265,MoveRight
35549,295.0,265.0,,1719,265,MoveRight
35550,295.0,265.0,,1726,265,MoveRight
35551,295.0,265.0,,1733,265,MoveRight
35552,295.0,265.0,,1740,265,MoveRight
35553,295.0,265.0,,1747,265,MoveRight
35554,295.0,265.0,,1754,265,MoveRight
35555,295.0,265.0,,1761,265,MoveRight
35556,295.0,265.0,,1768,265,MoveRight
35557,295.0,265.0,,1775,265,MoveRight
35558,295.0,265.0,,1782,265,MoveRight
35559,295.0,265.0,,1789,265,MoveRight
35560,295.0,265.0,,1796,265,MoveRight
35561,302.0,265.0,MoveRight,1796,265,
35561,302.0,265.0,,1803,265,MoveRight
35562,309.0,265.0,MoveRight,1803,265,
35562,309.0,265.0,,1810,265,MoveRight
35563,316.0,265.0,MoveRight,1810,265,
35563,316.0,265.0,,1817,265,MoveRight
35564,323.0,265.0,MoveRight,1817,265,
35564,323.0,265.0,,1824,265,MoveRight
35565,330.0,265.0,MoveRight,1824,265,
35565,330.0,265.0,,1831,265,MoveRight
35566,337.0,265.0,MoveRight,1831,265,
35566,337.0,265.0,,1838,265,MoveRight
35567,344.0,265.0,MoveRight,1838,265,
35568,351.0,265.0,MoveRight,1838,265,
35569,358.0,265.0,MoveRight,1838,265,
35570,365.0,265.0,MoveRight,1838,265,
35571,372.0,265.0,MoveRight,1838,265,
35572,379.0,265.0,MoveRight,1838,265,
35573,386.0,265.0,MoveRight,1838,265,
35574,393.0,265.0,MoveRight,1838,265,
35575,400.0,265.0,MoveRight,1838,265,
35576,407.0,265.0,MoveRight,1838,265,
35577,414.0,265.0,MoveRight,1838,265,
35578,421.0,265.0,MoveRight,1838,265,
35579,428.0,265.0,MoveRight,1838,265,
35580,435.0,265.0,MoveRight,1838,265,
35581,442.0,265.0,MoveRight,1838,265,
35582,449.0,265.0,MoveRight,1838,265,
35583,456.0,265.0,MoveRight,1838,265,
35584,463.0,265.0,MoveRight,1838,265,
35585,470.0,265.0,MoveRight,1838,265,
35586,477.0,265.0,MoveRight,1838,265,
35587,484.0,265.0,MoveRight,1838,265,
35588,491.0,265.0,MoveRight,1838,265,
