Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
16307,1150.0,265.0,,2410,265,Serve
16307,1150.0,265.0,,2410,265,
16335,1143.0,265.0,MoveLeft,2410,265,
16336,1136.0,265.0,MoveLeft,2410,265,
16337,1129.0,265.0,MoveLeft,2410,265,
16338,1122.0,265.0,MoveLeft,2410,265,
16339,1115.0,265.0,MoveLeft,2410,265,
16340,1108.0,265.0,MoveLeft,2410,265,
16341,1101.0,265.0,MoveLeft,2410,265,
16342,1094.0,265.0,MoveLeft,2410,265,
16343,1087.0,265.0,MoveLeft,2410,265,
16344,1080.0,265.0,MoveLeft,2410,265,
16345,1073.0,265.0,MoveLeft,2410,265,
16346,1066.0,265.0,MoveLeft,2410,265,
16347,1059.0,265.0,MoveLeft,2410,265,
16365,1052.0,265.0,MoveLeft,2410,265,
16366,1045.0,265.0,MoveLeft,2410,265,
16367,1038.0,265.0,MoveLeft,2410,265,
16368,1031.0,265.0,MoveLeft,2410,265,
16369,1024.0,265.0,MoveLeft,2410,265,
16370,1017.0,265.0,MoveLeft,2410,265,
16371,1010.0,265.0,MoveLeft,2410,265,
16372,1003.0,265.0,MoveLeft,2410,265,
16373,996.0,265.0,MoveLeft,2410,265,
16374,989.0,265.0,MoveLeft,2410,265,
16375,982.0,265.0,MoveLeft,2410,265,
16376,975.0,265.0,MoveLeft,2410,265,
16377,975.0,265.0,Bump,2410,265,
16377,968.0,265.0,MoveLeft,2410,265,
16378,968.0,265.0,,2403,265,MoveLeft
16379,968.0,265.0,,2396,265,MoveLeft
16380,968.0,265.0,,2389,265,MoveLeft
16381,968.0,265.0,,2382,265,MoveLeft
16382,968.0,265.0,,2375,265,MoveLeft
16383,968.0,265.0,,2368,265,MoveLeft
16384,968.0,265.0,,2361,265,MoveLeft
16385,968.0,265.0,,2354,265,MoveLeft
16386,968.0,265.0,,2347,265,MoveLeft
16387,968.0,265.0,,2340,265,MoveLeft
16388,968.0,265.0,,2333,265,MoveLeft
16389,968.0,265.0,,2326,265,MoveLeft
16390,968.0,265.0,,2319,265,MoveLeft
16391,968.0,265.0,,2312,265,MoveLeft
16392,968.0,265.0,,2305,265,MoveLeft
16393,968.0,265.0,,2298,265,MoveLeft
16394,968.0,265.0,,2291,265,MoveLeft
16395,968.0,265.0,,2284,265,MoveLeft
16396,968.0,265.0,,2277,265,MoveLeft
16397,968.0,265.0,,2270,265,MoveLeft
16398,975.0,265.0,MoveRight,2270,265,
16398,975.0,265.0,,2263,265,MoveLeft
16399,982.0,265.0,MoveRight,2263,265,
16399,982.0,265.0,,2256,265,MoveLeft
16400,989.0,265.0,MoveRight,2256,265,
16400,989.0,265.0,,2249,265,MoveLeft
16401,996.0,265.0,MoveRight,2249,265,
16401,996.0,265.0,,2242,265,MoveLeft
16402,1003.0,265.0,MoveRight,2242,265,
16402,1003.0,265.0,,2235,265,MoveLeft
16403,1010.0,265.0,MoveRight,2235,265,
16403,1010.0,265.0,,2228,265,MoveLeft
16404,1017.0,265.0,MoveRight,2228,265,
16404,1017.0,265.0,,2221,265,MoveLeft
16405,1024.0,265.0,MoveRight,2221,265,
16405,1024.0,265.0,,2214,265,MoveLeft
16406,1031.0,265.0,MoveRight,2214,265,
16406,1031.0,265.0,,2207,265,MoveLeft
16407,1038.0,265.0,MoveRight,2207,265,
16407,1038.0,265.0,,2200,265,MoveLeft
16408,1045.0,265.0,MoveRight,2200,265,
16408,1045.0,265.0,,2193,265,MoveLeft
16409,1052.0,265.0,MoveRight,2193,265,
16409,1052.0,265.0,,2186,265,MoveLeft
16410,1059.0,265.0,MoveRight,2186,265,
16410,1059.0,265.0,,2179,265,MoveLeft
16411,1066.0,265.0,MoveRight,2179,265,
16411,1066.0,265.0,,2172,265,MoveLeft
16412,1073.0,265.0,MoveRight,2172,265,
16412,1073.0,265.0,,2165,265,MoveLeft
16413,1080.0,265.0,MoveRight,2165,265,
16413,1080.0,265.0,,2158,265,MoveLeft
16414,1087.0,265.0,MoveRight,2158,265,
